実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1980/ 1- 3.,"269,747.5 ","153,290.7 ","151,083.3 ","127,836.8 ","26,716.2 ","38,097.5 ",215.5 ,"44,078.7 ","29,252.6 ",-291.8 ,"-5,895.0 ","18,383.8 ","24,278.8 ","-15,716.9 ",,"3,647.4 ","273,395.0 ",185.0 ,"3,062.4 ","2,877.4 ","273,580.0 ",,"286,052.3 ","214,546.3 ","71,804.4 ",,"89,114.8 ",,"270,042.3 ",,,
4- 6.,"268,521.8 ","153,551.9 ","151,335.6 ","127,770.8 ","26,367.9 ","38,403.6 ",545.1 ,"44,442.9 ","27,925.8 ",-204.2 ,"-6,823.1 ","18,631.4 ","25,454.5 ","-15,688.1 ",,"3,955.5 ","272,477.3 ",77.5 ,"2,836.6 ","2,759.1 ","272,554.8 ",,"286,196.9 ","215,468.7 ","70,959.1 ",,"88,109.9 ",,"268,161.9 ",,,
7- 9.,"274,183.1 ","155,580.0 ","153,324.1 ","129,506.1 ","25,824.5 ","38,223.4 ","1,718.0 ","44,895.0 ","28,018.6 ",-249.8 ,"-5,436.4 ","18,449.3 ","23,885.7 ","-14,390.1 ",,"4,120.8 ","278,303.9 ",245.2 ,"2,737.8 ","2,492.6 ","278,549.2 ",,"289,929.9 ","218,696.7 ","71,432.2 ",,"87,575.4 ",,"271,933.8 ",,,
10-12.,"279,601.8 ","156,162.4 ","153,878.5 ","129,886.4 ","25,285.0 ","39,227.7 ","1,504.8 ","45,386.4 ","29,858.2 ",-483.5 ,"-4,011.0 ","19,705.4 ","23,716.5 ","-13,328.2 ",,"4,250.2 ","283,852.0 ",291.2 ,"2,801.8 ","2,510.6 ","284,143.1 ",,"292,867.1 ","219,737.4 ","73,428.3 ",,"89,905.2 ",,"278,000.4 ",,,
1981/ 1- 3.,"281,995.7 ","156,757.7 ","154,457.5 ","130,291.2 ","25,392.5 ","39,542.0 ","1,324.5 ","46,006.4 ","30,329.8 ",-208.6 ,"-3,884.5 ","20,289.5 ","24,174.1 ","-13,264.0 ",,"4,477.9 ","286,473.6 ",-299.1 ,"3,178.1 ","3,477.2 ","286,174.5 ",,"294,974.0 ","220,471.8 ","74,873.2 ",,"90,749.9 ",,"280,371.4 ",,,
4- 6.,"284,608.9 ","157,847.8 ","155,529.7 ","131,170.2 ","25,775.2 ","39,613.7 ","1,861.6 ","47,040.2 ","29,105.9 ",-214.0 ,"-3,743.6 ","21,262.2 ","25,005.8 ","-12,677.8 ",,"4,350.8 ","288,959.6 ",-186.4 ,"3,634.5 ","3,820.9 ","288,773.3 ",,"297,158.3 ","222,813.3 ","74,659.8 ",,"90,091.3 ",,"282,097.6 ",,,
